mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__criterion,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.940228533744812,0.04425555997656732,0.11199386119842529,0.004867847215317238,entropy,116,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 116}",0.7518796992481204,0.7844611528822055,0.7694235588972431,0.7644110275689222,0.7593984962406014,0.7763157894736843,0.7236842105263158,0.7999999999999999,0.831578947368421,0.7973684210526316,0.7758521303258146,0.02822232362655876,303
0.9331147193908691,0.042904426191585306,0.11173789501190186,0.0026551845385642554,entropy,117,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 117}",0.7468671679197996,0.7819548872180452,0.7669172932330827,0.7769423558897244,0.7719298245614034,0.7736842105263159,0.7368421052631579,0.8026315789473684,0.8342105263157894,0.8026315789473685,0.7794611528822055,0.026851420239010704,52
0.9707589864730835,0.07883285499204089,0.11578078269958496,0.010369085973235858,entropy,118,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 118}",0.7568922305764412,0.7819548872180452,0.7593984962406015,0.7694235588972431,0.7644110275689222,0.7736842105263159,0.7394736842105263,0.8157894736842104,0.8394736842105263,0.7973684210526316,0.7797869674185464,0.02849311310849915,41
1.1560148000717163,0.10478961926647122,0.1355489730834961,0.03204177586141676,entropy,119,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 119}",0.7468671679197996,0.7819548872180452,0.7694235588972431,0.7619047619047619,0.7644110275689222,0.7736842105263158,0.7368421052631579,0.8026315789473684,0.8289473684210525,0.7894736842105263,0.7756140350877192,0.025479071963992423,313
1.2616295337677002,0.2131818078483068,0.13213350772857665,0.01638402560037048,entropy,120,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 120}",0.7568922305764412,0.7819548872180452,0.7769423558897244,0.7644110275689222,0.7619047619047619,0.7736842105263159,0.7289473684210527,0.7999999999999998,0.8394736842105261,0.7868421052631579,0.7771052631578947,0.027683916584218583,224
1.1975667238235475,0.2856108243889299,0.1515200138092041,0.05094437089674949,entropy,121,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 121}",0.7418546365914788,0.7794486215538846,0.7844611528822055,0.7794486215538847,0.7644110275689224,0.7631578947368421,0.7315789473684212,0.8026315789473685,0.8368421052631579,0.8105263157894737,0.779436090225564,0.030031215243194995,58
1.2079022884368897,0.10045765946856612,0.15184242725372316,0.01839755797907962,entropy,122,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 122}",0.7493734335839599,0.7869674185463659,0.7794486215538848,0.7644110275689224,0.7593984962406014,0.7736842105263159,0.7394736842105263,0.8052631578947368,0.831578947368421,0.7921052631578949,0.778170426065163,0.025977343865986244,136
1.3213146448135376,0.10829970057614757,0.1685786724090576,0.02718428369681393,entropy,123,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 123}",0.7443609022556391,0.7844611528822055,0.7769423558897244,0.7593984962406014,0.7644110275689222,0.7657894736842106,0.7342105263157894,0.8052631578947367,0.8421052631578947,0.7973684210526316,0.7774310776942356,0.029994013782897583,197
1.2768641471862794,0.15087078676762053,0.17666785717010497,0.04667555479876229,entropy,124,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 124}",0.7468671679197996,0.7944862155388472,0.7769423558897243,0.7719298245614035,0.7669172932330828,0.7631578947368421,0.7263157894736841,0.8026315789473683,0.8342105263157894,0.7842105263157895,0.7767669172932331,0.028430775456078614,247
1.0976426601409912,0.0656894519660564,0.13225643634796141,0.009801042566834789,entropy,125,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 125}",0.7518796992481204,0.7794486215538846,0.7769423558897244,0.7669172932330828,0.7669172932330826,0.7763157894736842,0.7394736842105263,0.8026315789473685,0.8421052631578947,0.7973684210526316,0.78,0.027330548400763162,31
1.2866704702377318,0.167634858063921,0.15846376419067382,0.03640640525244871,entropy,126,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 126}",0.7493734335839599,0.7919799498746868,0.7694235588972431,0.7694235588972431,0.7593984962406014,0.7763157894736842,0.7421052631578947,0.8078947368421051,0.8289473684210527,0.7973684210526316,0.7792230576441103,0.025785308416564918,67
1.2261623382568358,0.11502979178205806,0.1589822292327881,0.05008061236966622,entropy,127,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 127}",0.7518796992481204,0.7769423558897243,0.7769423558897244,0.769423558897243,0.7644110275689222,0.768421052631579,0.7394736842105264,0.8052631578947367,0.8342105263157894,0.7921052631578948,0.7779072681704261,0.025730393685558364,153
1.5628638505935668,0.7009284117252443,0.18483242988586426,0.14956309305946308,entropy,128,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 128}",0.7493734335839599,0.7769423558897244,0.7794486215538847,0.7669172932330826,0.7719298245614034,0.768421052631579,0.7263157894736842,0.7999999999999999,0.8394736842105263,0.8,0.7778822055137844,0.029141482091342468,163
1.1599326372146606,0.13664955849745397,0.1379993438720703,0.0118339665877198,entropy,129,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 129}",0.7443609022556392,0.7769423558897244,0.7694235588972431,0.7669172932330828,0.7719298245614036,0.7789473684210527,0.744736842105263,0.8105263157894737,0.831578947368421,0.7947368421052632,0.7790100250626566,0.02582993737241554,80
1.1607237339019776,0.0385164621367746,0.14084160327911377,0.007646237433105163,entropy,130,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 130}",0.7493734335839599,0.7769423558897244,0.7769423558897244,0.761904761904762,0.7669172932330826,0.7710526315789474,0.7394736842105264,0.8052631578947367,0.8368421052631579,0.7947368421052632,0.7779448621553885,0.026873608157155313,145
1.1715985536575317,0.05725836588236631,0.13950064182281494,0.009531946502118067,entropy,131,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 131}",0.7543859649122807,0.7844611528822055,0.7794486215538847,0.7744360902255638,0.769423558897243,0.768421052631579,0.7368421052631579,0.8026315789473684,0.8368421052631578,0.7868421052631579,0.7793734335839599,0.02569412509009258,63
1.1692738294601441,0.046878040927071124,0.13399143218994142,0.006957630766796806,entropy,132,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 132}",0.7493734335839599,0.7819548872180452,0.7744360902255639,0.7719298245614036,0.7694235588972432,0.7763157894736842,0.736842105263158,0.8052631578947368,0.8315789473684211,0.8026315789473685,0.7799749373433584,0.026147138299458247,37
1.1671128511428832,0.05514265453448573,0.12670092582702636,0.006006367083349768,entropy,133,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 133}",0.7518796992481204,0.7719298245614036,0.7719298245614035,0.7744360902255639,0.7669172932330826,0.7763157894736842,0.7315789473684212,0.8078947368421052,0.8394736842105263,0.8,0.7792355889724311,0.02861937288961479,66
1.5944632530212401,0.5022048908274231,0.19870071411132811,0.10781883246598757,entropy,134,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 134}",0.7543859649122807,0.7744360902255639,0.7794486215538847,0.7619047619047619,0.7669172932330826,0.768421052631579,0.7342105263157894,0.8052631578947367,0.8342105263157895,0.7973684210526316,0.77765664160401,0.0269080652566182,179
1.226755690574646,0.0306355645989674,0.13943145275115967,0.01777658519463491,entropy,135,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 135}",0.7568922305764412,0.7794486215538846,0.7794486215538848,0.7644110275689224,0.7593984962406016,0.7710526315789474,0.7368421052631579,0.8026315789473684,0.8421052631578947,0.8,0.7792230576441103,0.02812097086840425,67
1.208642339706421,0.038109395291691425,0.15910639762878417,0.025679599037762117,entropy,136,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 136}",0.7493734335839599,0.7844611528822055,0.7669172932330827,0.7619047619047619,0.7669172932330826,0.7736842105263159,0.7368421052631579,0.8078947368421051,0.8394736842105263,0.8026315789473685,0.7790100250626566,0.028892485049987322,80
1.1256173372268676,0.058545327869051214,0.13441903591156007,0.008974034498591379,entropy,137,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 137}",0.7443609022556391,0.7819548872180452,0.7719298245614035,0.7694235588972432,0.7669172932330828,0.7736842105263158,0.7342105263157895,0.8026315789473684,0.8342105263157894,0.7973684210526316,0.7776691729323308,0.027307475266184544,175
1.0537480592727662,0.030336751178226776,0.13249075412750244,0.005959612432853804,entropy,138,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 138}",0.7493734335839599,0.7969924812030076,0.7794486215538848,0.7669172932330827,0.7669172932330826,0.7710526315789474,0.7421052631578947,0.8026315789473685,0.8394736842105263,0.7921052631578949,0.7807017543859649,0.02697468480616284,17
