program_name,c81,c82,c83,c84,c85,c86,c87,c88
cfiles32/seq-mthreaded/pals_floodmax.3.1.ufo.UNBOUNDED.pals.c,7.426666667,6.86,7.236666667,7.616666667,7.426666667,8.19,8.19,7.046666667
cfiles32/seq-mthreaded/pals_floodmax.3.2.ufo.BOUNDED-6.pals.c,7.873333333,7.693333333,8.24,7.143333333,6.776666667,7.873333333,8.423333333,8.056666667
cfiles32/seq-mthreaded/pals_floodmax.3.ufo.UNBOUNDED.pals.c,6.42,6.953333333,7.666666667,5.883333333,7.843333333,7.843333333,7.13,6.06
cfiles32/seq-mthreaded/pals_floodmax.3_overflow.ufo.UNBOUNDED.pals.c,7.553333333,7.73,6.073333333,6.073333333,7.18,6.443333333,5.893333333,6.256666667
cfiles32/seq-mthreaded/pals_floodmax.4.1.ufo.BOUNDED-8.pals.c,11.88333333,8.643333333,8.333333333,8.1,7.483333333,7.56,9.183333333,8.563333333
cfiles32/seq-mthreaded/pals_floodmax.4.1.ufo.UNBOUNDED.pals.c,6.986666667,6.456666667,7.29,8.503333333,7.213333333,7.82,7.746666667,8.126666667
cfiles32/seq-mthreaded/pals_floodmax.4.2.ufo.BOUNDED-8.pals.c,7.163333333,7.163333333,7.526666667,7.38,11.62,6.87,7.673333333,8.183333333
cfiles32/seq-mthreaded/pals_lcr-var-start-time.3.ufo.UNBOUNDED.pals.c,7.446666667,6.383333333,6.03,6.383333333,6.383333333,6.383333333,8.51,8.156666667
cfiles32/seq-mthreaded/pals_lcr-var-start-time.4.1.ufo.BOUNDED-8.pals.c,5.15,5.15,6.5,6.5,6.773333333,6.5,6.503333333,3.253333333
cfiles32/seq-mthreaded/pals_lcr-var-start-time.4.2.ufo.BOUNDED-8.pals.c,5.556666667,4.723333333,6.946666667,6.67,6.946666667,7.223333333,6.67,5.003333333
cfiles32/seq-mthreaded/pals_lcr-var-start-time.4.2.ufo.UNBOUNDED.pals.c,4.96,5.783333333,6.61,6.61,6.61,5.233333333,6.61,6.61
cfiles32/seq-mthreaded/pals_lcr-var-start-time.4.ufo.BOUNDED-8.pals.c,6.5,7.046666667,6.5,4.876666667,6.503333333,4.876666667,5.15,5.15
cfiles32/seq-mthreaded/pals_lcr-var-start-time.4.ufo.UNBOUNDED.pals.c,6.45,6.45,6.45,4.3,6.45,6.45,4.57,6.45
cfiles32/seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.BOUNDED-10.pals.c,5.48,5.26,5.26,5.26,5.48,5.7,3.73,5.26
cfiles32/seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.UNBOUNDED.pals.c,5.23,2.616666667,4.793333333,5.23,5.23,3.923333333,5.013333333,3.923333333
cfiles32/seq-mthreaded/pals_lcr-var-start-time.5.ufo.BOUNDED-10.pals.c,5.16,5.16,5.16,4.73,5.376666667,5.163333333,4.086666667,3.656666667
cfiles32/seq-mthreaded/pals_lcr.3.ufo.BOUNDED-6.pals.c,10.04666667,10.04666667,9.59,9.59,7.306666667,9.59,10.04666667,10.96
cfiles32/seq-mthreaded/pals_lcr.3_overflow.ufo.UNBOUNDED.pals.c,10.18333333,9.256666667,9.72,8.333333333,10.18333333,9.72,10.64666667,10.18333333
cfiles32/seq-mthreaded/pals_lcr.4.1.ufo.BOUNDED-8.pals.c,7.636666667,7.636666667,7.636666667,7.29,7.983333333,7.636666667,3.816666667,7.636666667
cfiles32/seq-mthreaded/pals_lcr.4.1.ufo.UNBOUNDED.pals.c,7.22,7.22,7.563333333,7.22,7.563333333,5.5,7.22,5.843333333
cfiles32/seq-mthreaded/pals_lcr.4.ufo.BOUNDED-8.pals.c,7.636666667,7.29,7.636666667,7.636666667,7.983333333,7.636666667,7.29,7.636666667
cfiles32/seq-mthreaded/pals_lcr.4.ufo.UNBOUNDED.pals.c,7.563333333,7.22,7.22,7.563333333,7.563333333,7.22,7.906666667,7.563333333
cfiles32/seq-mthreaded/pals_lcr.4_overflow.ufo.UNBOUNDED.pals.c,7.72,7.37,7.72,6.666666667,8.07,7.37,7.37,7.37
cfiles32/seq-mthreaded/pals_lcr.5.1.ufo.BOUNDED-10.pals.c,5.79,5.79,6.063333333,6.063333333,5.79,6.61,6.336666667,6.336666667
cfiles32/seq-mthreaded/pals_lcr.5.1.ufo.UNBOUNDED.pals.c,4.373333333,5.74,5.74,6.013333333,6.013333333,6.013333333,6.013333333,6.013333333
cfiles32/seq-mthreaded/pals_lcr.5.ufo.BOUNDED-10.pals.c,5.79,6.063333333,5.79,5.79,6.336666667,6.063333333,6.063333333,5.79
cfiles32/seq-mthreaded/pals_lcr.5.ufo.UNBOUNDED.pals.c,6.013333333,5.74,5.74,6.286666667,6.013333333,5.74,4.373333333,5.74
cfiles32/seq-mthreaded/pals_lcr.5_overflow.ufo.UNBOUNDED.pals.c,6.39,4.443333333,5.83,6.11,4.723333333,5.83,6.11,6.39
cfiles32/seq-mthreaded/pals_lcr.6.1.ufo.BOUNDED-12.pals.c,5.183333333,4.956666667,4.73,5.183333333,4.956666667,4.73,4.73,4.956666667
cfiles32/seq-mthreaded/pals_lcr.6.1.ufo.UNBOUNDED.pals.c,4.923333333,4.7,4.7,4.923333333,4.7,4.923333333,4.923333333,4.7
cfiles32/seq-mthreaded/pals_lcr.6.ufo.BOUNDED-12.pals.c,4.956666667,5.183333333,4.73,4.956666667,4.956666667,4.73,4.73,4.956666667
cfiles32/seq-mthreaded/pals_lcr.6.ufo.UNBOUNDED.pals.c,4.923333333,4.7,4.923333333,5.146666667,4.7,4.923333333,4.923333333,4.7
cfiles32/seq-mthreaded/pals_lcr.8.1.ufo.BOUNDED-16.pals.c,3.37,3.37,3.37,3.37,3.69,3.37,3.53,3.37
cfiles32/seq-mthreaded/pals_lcr.8.1.ufo.UNBOUNDED.pals.c,3.83,3.51,3.51,3.35,3.35,3.35,3.35,3.35
cfiles32/seq-mthreaded/pals_lcr.8_overflow.ufo.UNBOUNDED.pals.c,3.54,3.54,3.38,3.38,3.54,3.38,3.54,3.54
cfiles32/seq-mthreaded/pals_opt-floodmax.3.1.ufo.BOUNDED-6.pals.c,8.333333333,6.56,7.803333333,7.803333333,7.98,6.563333333,6.383333333,7.626666667
cfiles32/seq-mthreaded/pals_opt-floodmax.3.3.ufo.BOUNDED-6.pals.c,7.166666667,8.833333333,7.5,7.333333333,6.5,7.333333333,5.833333333,7.333333333
cfiles32/seq-mthreaded/pals_opt-floodmax.3.4.ufo.UNBOUNDED.pals.c,7.156666667,6.67,6.343333333,7.32,5.366666667,7.48,5.203333333,6.343333333
cfiles32/seq-mthreaded/pals_opt-floodmax.3.ufo.BOUNDED-6.pals.c,6.666666667,7.333333333,5.833333333,6.666666667,6.5,7.166666667,5.833333333,7.5
cfiles32/seq-mthreaded/pals_opt-floodmax.3.ufo.UNBOUNDED.pals.c,7.316666667,6.343333333,6.343333333,6.993333333,6.993333333,6.666666667,7.156666667,7.32
cfiles32/seq-mthreaded/pals_opt-floodmax.3_overflow.ufo.UNBOUNDED.pals.c,5.866666667,7.373333333,7.373333333,6.2,7.373333333,7.706666667,6.2,6.366666667
cfiles32/seq-mthreaded/pals_opt-floodmax.4.1.ufo.BOUNDED-8.pals.c,7.543333333,6.39,7.9,7.4,7.4,7.973333333,7.47,7.113333333
cfiles32/seq-mthreaded/pals_opt-floodmax.4.1.ufo.UNBOUNDED.pals.c,6.44,7.786666667,6.653333333,7.286666667,7.22,7.433333333,6.51,7.29
cfiles32/seq-mthreaded/pals_opt-floodmax.4.2.ufo.BOUNDED-8.pals.c,6.556666667,6.626666667,5.873333333,6.9,6.56,7.653333333,6.97,7.583333333
cfiles32/seq-mthreaded/pals_opt-floodmax.4.2.ufo.UNBOUNDED.pals.c,6.866666667,6.933333333,6.8,7.07,7.473333333,7.336666667,7.066666667,6.466666667
cfiles32/seq-mthreaded/pals_opt-floodmax.4.4.ufo.UNBOUNDED.pals.c,6.73,7.003333333,6.866666667,6.87,7.54,7.07,7.473333333,7.336666667
cfiles32/seq-mthreaded/pals_opt-floodmax.4.ufo.BOUNDED-8.pals.c,6.42,6.83,6.08,7.513333333,6.966666667,7.243333333,6.696666667,7.446666667
cfiles32/seq-mthreaded/pals_opt-floodmax.4.ufo.UNBOUNDED.pals.c,7.043333333,6.976666667,6.37,6.973333333,7.443333333,6.976666667,6.703333333,6.84
cfiles32/seq-mthreaded/pals_opt-floodmax.4_overflow.ufo.UNBOUNDED.pals.c,7.256666667,6.293333333,6.846666667,6.433333333,7.253333333,7.186666667,6.433333333,7.116666667
cfiles32/seq-mthreaded/pals_opt-floodmax.5.1.ufo.BOUNDED-10.pals.c,6.283333333,6.283333333,6.55,5.73,6.576666667,5.993333333,6.55,5.99
cfiles32/seq-mthreaded/pals_opt-floodmax.5.1.ufo.UNBOUNDED.pals.c,6.21,5.716666667,6.066666667,5.86,6.066666667,6.526666667,6.53,5.946666667
